categoria,nombre,precio,precio_transferencia,descripcion,variantes,url
"" ,"Agility Perro Cachorro x 20 kg.","Precio sin impuestos
                            : $0,00","$83.700,00 Precio sin impuestos $69.173,55 $79.515,00 con Transferencia o depósito bancario 💰","Alimento balanceado seco para perros en etapa de cachorros de tamaño mediano o grande desde los 2 meses hasta el año de edad. Caracteristicas: Durante el primer año de vida es fundamental que el cacho","","https://lamascoteranoa.com.ar/productos/agility-perro-cachorro-x-15-kg/"
"" ,"Agility Perro Cachorro x 3 kg.","Precio sin impuestos
                            : $0,00","$17.500,00 Precio sin impuestos $14.462,81 $16.625,00 con Transferencia o depósito bancario 💰","Alimento balanceado seco para perros en etapa de cachorros de tamaño mediano o grande desde los 2 meses hasta el año de edad. Caracteristicas: Durante el primer año de vida es fundamental que el cacho","","https://lamascoteranoa.com.ar/productos/agility-perro-cachorro-x-3-kg/"
"" ,"Agility Perro Derma Control x 3 kg.","Precio sin impuestos
                            : $0,00","$17.300,00 Precio sin impuestos $14.297,52 $16.435,00 con Transferencia o depósito bancario 💰","Alimento balanceado seco para perros con problemas dermacologicos. Caracteristicas : Agility Adultos Derma Control es un alimento especialmente formulado con proteína de cerdo, que por su baja alergen","","https://lamascoteranoa.com.ar/productos/agility-perro-derma-control-x-3-kg/"
"" ,"Alicate Comun Nª 1","Precio sin impuestos
                            : $0,00","$6.800,00 Precio sin impuestos $5.619,83 $6.460,00 con Transferencia o depósito bancario 💰","CEPILLO DOBLE $0,00 $6.000,00 $5.700,00 con Transferencia o depósito bancario 💰","","https://lamascoteranoa.com.ar/productos/alicate-comun-n-1/"
"" ,"Alicate Común Nª 2","Precio sin impuestos
                            : $0,00","$8.800,00 Precio sin impuestos $7.272,73 $8.360,00 con Transferencia o depósito bancario 💰","CEPILLO DOBLE $0,00 $6.000,00 $5.700,00 con Transferencia o depósito bancario 💰","","https://lamascoteranoa.com.ar/productos/alicate-comun-n-2/"
"" ,"Alimento Shulet Peces x 10 gr.","Precio sin impuestos
                            : $0,00","$3.500,00 Precio sin impuestos $2.892,56 $3.325,00 con Transferencia o depósito bancario 💰","Alimento balanceado para peces en forma de escamas que es altamente palatable, tiene máxima digestibilidad, cuenta con todos los nutrientes necesarios y además, cuenta con la ventaja de que no enturbi","","https://lamascoteranoa.com.ar/productos/alimento-shulet-peces-x-10-gr/"
"" ,"Alimento Shulet Peces x 20 gr.","Precio sin impuestos
                            : $0,00","$5.100,00 Precio sin impuestos $4.214,88 $4.845,00 con Transferencia o depósito bancario 💰","Alimento balanceado para peces en forma de escamas que es altamente palatable, tiene máxima digestibilidad, cuenta con todos los nutrientes necesarios y además, cuenta con la ventaja de que no enturbi","","https://lamascoteranoa.com.ar/productos/alimento-shulet-peces-x-20-gr/"
"" ,"Alimento para Peces Shulet x 40gr","Precio sin impuestos
                            : $0,00","$9.200,00 Precio sin impuestos $7.603,31 $8.740,00 con Transferencia o depósito bancario 💰","Una nueva fórmula combina los tradicionales ingredientes junto con nuevas materias primas que potencian el valor nutritivo de este alimento, logrando escamas de alto valor nutricional, gran poder atra","","https://lamascoteranoa.com.ar/productos/alimento-para-peces-shulet-x-40gr/"
"" ,"Almohadón Estampado","Precio sin impuestos
                            : $0,00","$13.800,00 Precio sin impuestos $11.404,96 $13.110,00 con Transferencia o depósito bancario 💰","Almohadón Cuadrado de Lona estampada con base de friselina. Adaptadas para perros y gatos Caracteristicas: Almohadon cuadrado con varios diseños de temporada, Aptos para perros y gatos. Vienen en vari","","https://lamascoteranoa.com.ar/productos/almohadon-estampado/"
"" ,"Almohadón Impermeable","Precio sin impuestos
                            : $0,00","$19.300,00 Precio sin impuestos $15.950,41 $18.335,00 con Transferencia o depósito bancario 💰","Almohadón Cuadrado de Lona estampada con base de friselina. Adaptadas para perros y gatos Caracteristicas: Colchoneta fácil de lavar, quitar pelos y limpiar. Disponible en varios colores T 1 (50x50cm)","","https://lamascoteranoa.com.ar/productos/almohadon-impermeable/"
